id,status,age,sex,region,area,house_income,ind_income
7413,Retained,52,0,4,2,2000,0
7347,Retained,69,1,4,2,1760,880
7375,Retained,51,1,4,2,5000,5000
7377,Retained,79,0,4,2,3560,1800
7400,Retained,54,1,4,2,4200,1500
7386,Retained,74,1,4,2,1760,880
7349,Retained,60,0,4,2,1760,880
7429,Retained,64,1,4,2,1760,880
7323,Retained,79,0,4,2,4880,880
7422,Retained,69,1,4,2,1760,880
7329,Retained,68,0,4,2,2880,880
7315,Retained,53,1,4,2,1294,400
7333,Retained,78,0,4,2,4760,880
7420,Retained,55,0,4,2,7440,880
7431,Retained,65,0,4,2,2981,920
7319,Retained,54,0,4,2,2460,400
7322,Retained,65,0,4,2,3541,1760
7328,Retained,76,1,4,2,880,0
7380,Retained,77,0,4,2,1760,1760
7350,Retained,73,1,4,2,1980,1100
7382,Retained,64,0,4,2,3360,1760
7346,Retained,59,0,4,2,1400,1400
7409,Retained,57,0,4,2,1760,0
3610,Retained,54,1,3,2,1880,1000
7372,Retained,53,0,4,2,0,0
7419,Retained,65,0,4,1,2722,1300
7330,Retained,58,0,4,1,21045,19315
7326,Retained,74,0,4,1,880,880
7327,Retained,63,0,4,1,822,0
7424,Retained,73,0,4,1,1700,1700
7395,Retained,70,0,4,1,1880,880
7393,Retained,59,0,4,1,36550,36550
7362,Retained,60,0,4,1,1380,500
7342,Retained,71,0,4,1,1680,880
7370,Retained,64,0,4,1,2380,1080
7383,Retained,59,1,4,1,1826,1326
7357,Retained,67,0,4,1,4760,880
7385,Retained,65,0,4,1,1680,800
7351,Retained,52,0,4,1,4250,300
7401,Retained,71,1,4,1,1969,1969
7316,Retained,53,0,4,1,3100,600
7317,Retained,73,0,4,1,2020,820
7344,Retained,50,0,4,1,3947,0
7426,Retained,56,0,4,1,2440,240
7338,Retained,52,0,4,1,4200,2500
7423,Retained,70,0,4,1,5180,880
7314,Retained,54,1,4,1,1880,880
7371,Retained,51,0,4,1,8414,1014
7381,Retained,77,0,4,1,780,780
3549,Retained,54,0,3,2,0,0
3662,Retained,50,0,3,2,3000,0
7367,Retained,57,0,4,1,4200,1660
7415,Retained,76,0,4,1,1760,1760
7411,Retained,68,0,4,1,880,880
7403,Retained,82,0,4,1,1760,1760
7335,Retained,59,1,4,1,3529,0
7425,Retained,65,0,4,1,4800,1300
7352,Retained,68,0,4,1,2220,860
7417,Retained,69,1,4,1,1910,980
7321,Retained,56,0,4,1,1969,0
7405,Retained,54,1,4,1,6200,1500
7324,Retained,71,0,4,1,880,880
7389,Retained,58,0,4,1,7760,7760
7360,Retained,75,0,4,1,1960,1760
7391,Retained,58,0,4,1,3529,1560
7428,Retained,70,0,4,1,6200,6200
8993,Retained,60,1,5,1,880,880
8899,Retained,76,0,5,1,2060,1760
8902,Retained,76,1,5,1,1760,880
8938,Retained,50,1,5,1,1500,1500
8859,Retained,55,0,5,1,1400,0
8884,Retained,58,0,5,1,0,0
8927,Retained,55,0,5,1,880,0
8896,Retained,56,0,5,1,1080,150
8959,Retained,59,0,5,1,1965,0
8969,Retained,57,1,5,1,4370,4370
8897,Retained,72,1,5,1,880,880
7016,Retained,67,0,3,1,8650,2650
7021,Retained,58,0,3,1,700,600
6444,Retained,54,1,3,1,5400,2000
6441,Retained,65,1,3,1,2200,1200
6440,Retained,62,1,3,1,4000,4000
6447,Retained,56,1,3,1,3000,3000
6448,Retained,52,0,3,1,2881,1700
9016,Retained,70,0,5,1,1860,1860
8869,Retained,53,0,5,1,1182,0
8949,Retained,56,0,5,1,2080,880
8916,Retained,54,0,5,1,1000,0
9015,Retained,62,0,5,1,1760,880
8929,Retained,59,1,5,1,3260,880
9031,Retained,78,0,5,1,950,880
8904,Retained,55,0,5,1,1670,1130
8921,Retained,63,0,5,1,880,880
7011,Retained,66,1,3,1,4030,2850
7015,Retained,54,0,3,1,3500,1000
9014,Retained,61,0,5,1,4040,1380
8998,Retained,63,1,5,1,150,0
9017,Retained,63,0,5,1,1280,880
8948,Retained,52,0,5,1,1500,0
8865,Retained,57,1,5,1,1420,540
9012,Retained,56,1,5,1,7760,4000
8919,Retained,88,1,5,1,1760,880
8875,Retained,96,0,5,1,1760,880
8871,Retained,52,0,5,1,1980,880
9018,Retained,63,1,5,1,1950,1950
8975,Retained,59,0,5,1,880,880
9010,Retained,60,0,5,1,1480,600
9035,Retained,57,0,5,1,1180,0
8933,Retained,64,0,5,1,1680,0
9023,Retained,57,1,5,1,2212,880
7029,Retained,62,1,3,1,3700,0
7020,Retained,77,1,3,1,2300,1200
8977,Retained,74,0,5,1,1760,880
8974,Retained,91,0,5,1,2640,880
8905,Retained,64,0,5,1,880,0
9029,Retained,64,1,5,1,1000,1000
9030,Retained,62,0,5,1,1760,880
8894,Retained,66,0,5,1,3880,880
8999,Retained,66,0,5,1,1380,1380
8965,Retained,91,1,5,1,5960,880
9011,Retained,55,1,5,1,11600,1000
8957,Retained,67,1,5,1,880,880
8934,Retained,74,0,5,1,1990,880
9033,Retained,80,0,5,1,5280,880
8968,Retained,78,1,5,1,2810,1930
9009,Retained,73,0,5,1,3760,1960
8855,Retained,66,0,5,1,1880,1880
8910,Retained,76,0,5,1,880,880
8883,Retained,71,1,5,1,6200,2000
7146,Retained,73,0,3,1,880,880
7157,Retained,63,0,3,1,2000,2000
7110,Retained,54,0,3,1,3900,0
8996,Retained,67,1,5,1,2360,1480
9013,Retained,57,1,5,1,0,0
8887,Retained,57,0,5,1,2180,0
9004,Retained,72,0,5,1,880,880
8946,Retained,50,0,5,1,880,880
8995,Retained,75,0,5,1,1760,880
8954,Retained,65,0,5,1,3260,880
9037,Retained,53,0,5,1,2511,1330
8928,Retained,57,0,5,1,1400,1400
9007,Retained,87,1,5,1,1200,880
7022,Retained,54,1,3,1,12000,12000
7028,Retained,67,0,3,1,10560,2360
1862,Retained,63,1,2,1,1880,1380
1864,Retained,58,1,2,1,819,500
7674,Retained,53,1,4,1,8100,7000
7756,Retained,53,0,4,1,1900,800
7637,Retained,64,1,4,1,2794,2400
9020,Retained,67,1,5,1,2230,1730
8925,Retained,78,1,5,1,1880,1000
8952,Retained,72,1,5,1,1760,880
8967,Retained,57,0,5,1,1300,400
8981,Retained,76,0,5,1,1760,1760
8877,Retained,65,1,5,1,2200,1800
8913,Retained,64,0,5,1,2640,880
8889,Retained,68,0,5,1,2640,1760
8951,Retained,60,0,5,1,2640,0
7019,Retained,68,1,3,1,7750,3200
7012,Retained,62,0,3,1,7200,1800
7155,Retained,79,0,3,1,2300,0
7024,Retained,78,0,3,1,4030,1180
7013,Retained,64,1,3,1,10300,1300
7014,Retained,80,0,3,1,2300,1100
7025,Retained,64,1,3,1,3500,1300
8973,Retained,57,0,5,1,2080,0
8876,Retained,67,0,5,1,3880,1760
8972,Retained,61,0,5,1,2340,0
9002,Retained,64,0,5,1,2300,1500
8868,Retained,79,0,5,1,1680,880
9038,Retained,74,0,5,1,2640,1760
8940,Retained,75,0,5,1,3180,880
8935,Retained,57,0,5,1,1400,1400
7145,Retained,61,0,3,1,3700,700
2990,Retained,64,1,2,1,2340,2100
2985,Retained,52,0,2,1,4333,0
2987,Retained,60,1,2,1,360,0
2986,Retained,59,1,2,1,880,880
8960,Retained,73,0,5,1,5790,2690
8953,Retained,60,0,5,1,150,150
8956,Retained,70,0,5,1,1910,1760
9005,Retained,83,0,5,1,880,880
8874,Retained,82,0,5,1,3642,942
8920,Retained,84,1,5,1,1760,880
8971,Retained,68,0,5,1,3100,0
8917,Retained,65,0,5,1,950,880
8976,Retained,78,0,5,1,4040,1760
9001,Retained,66,0,5,1,2800,2800
8915,Retained,69,0,5,1,880,880
8994,Retained,54,0,5,1,4380,0
7151,Retained,55,1,3,1,7700,3600
7116,Retained,78,0,3,1,880,880
7113,Retained,64,1,3,1,1000,1000
7115,Retained,60,0,3,1,2080,1200
5041,Retained,63,0,3,1,6480,2100
5012,Retained,77,0,3,1,2880,880
5034,Retained,86,0,3,1,4080,0
5110,Retained,62,0,3,1,20000,0
5049,Retained,54,0,3,1,11500,4500
5112,Retained,70,1,3,1,4990,850
5111,Retained,81,1,3,1,1880,1000
5021,Retained,82,0,3,1,4000,4000
5084,Retained,77,1,3,1,2660,1500
5087,Retained,67,1,3,1,2100,2100
5073,Retained,76,0,3,1,880,880
5072,Retained,69,0,3,1,4000,4000
542,Retained,55,0,1,1,2200,800
5044,Retained,57,0,3,1,4990,3260
5131,Retained,65,0,3,1,2660,1160
543,Retained,50,0,1,1,2061,880
538,Retained,50,1,1,1,1300,1300
5068,Retained,67,0,3,1,890,890
5025,Retained,63,1,3,1,890,890
5097,Retained,70,1,3,1,3260,1760
5093,Retained,61,0,3,1,3068,788
5066,Retained,81,1,3,1,890,890
5079,Retained,64,0,3,1,0,0
5099,Retained,72,0,3,1,890,890
5036,Retained,53,0,3,1,1190,0
5074,Retained,63,1,3,1,3490,2600
5114,Retained,80,0,3,1,890,890
5071,Retained,71,0,3,1,1690,890
5033,Retained,55,0,3,1,2330,540
5116,Retained,58,0,3,1,340,340
5092,Retained,60,1,3,1,3068,1400
5039,Retained,91,0,3,1,3068,880
5027,Retained,87,0,3,1,2330,890
5126,Retained,52,1,3,1,3800,1800
5063,Retained,80,0,3,1,8736,1736
5125,Retained,63,0,3,1,330,0
5115,Retained,65,1,3,1,800,0
5024,Retained,53,0,3,1,1800,1800
5060,Retained,76,1,3,1,6890,6000
5083,Retained,50,0,3,1,9800,0
5070,Retained,53,0,3,1,2131,0
5018,Retained,65,1,3,1,2070,1070
5057,Retained,59,0,3,1,1430,0
5046,Retained,62,0,3,1,6902,802
5031,Retained,78,1,3,1,1576,788
5075,Retained,68,0,3,1,788,788
5029,Retained,54,0,3,1,3100,900
5118,Retained,79,1,3,1,2188,1400
5065,Retained,54,0,3,1,2240,1000
5105,Retained,71,1,3,1,890,890
5022,Retained,57,0,3,1,0,0
5119,Retained,70,0,3,1,6890,890
5086,Retained,57,1,3,1,2131,950
